Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
uc1.b113224,allow,public domain,1476257,copy 2,University of California,"GLAD33774392-B,b167196169",5581119,,,05037840 //r86,"A treatise on practical astronomy, as applied to geodesy and navigation. By C.L. Doolittle ...","J. Wiley & sons, 1885.",bibliographically-derived by automatic processes,4/5/2013 19:25,0,1885,New York (State),English,Book
mdp.39015062284834,allow,public domain,1476258,,University of Michigan,1476258,63618670,,,5007714,Astronomie pratique. Usage et composition de la connaissance des temps.,"Bachelier; [etc., etc.], 1840.",bibliographically-derived by automatic processes,4/26/2012 19:30,0,1840,France,French,Book
mdp.39015073268818,allow,public domain only when viewed in the US,1476259,,University of Michigan,1476259,3595619,,,05008123 //r87,"Exercices astronomiques à l'usage des élèves des facultés et des observatoires, par L.J. Gruey ...","A. Hermann, 1889.",bibliographically-derived by automatic processes,4/4/2013 19:25,0,1889,France,French,Book
mdp.39015065510763,allow,public domain,1476260,,University of Michigan,1476260,1310497,,,17000866 //r87,"A manual of field astronomy, by Andrew H. Holt ...","John Wiley & sons, inc.; [etc., etc.] 1917.",bibliographically-derived by automatic processes,7/3/2012 19:30,0,1917,New York (State),English,Book
uc1.b262512,allow,public domain,1476260,,University of California,GLAD33760299-B,1310497,,,17000866 //r87,"A manual of field astronomy, by Andrew H. Holt ...","John Wiley & sons, inc.; [etc., etc.] 1917.",bibliographically-derived by automatic processes,9/22/2009 22:30,0,1917,New York (State),English,Book
uc2.ark:/13960/t9c53gp1s,allow,public domain,1476260,,University of California,.b129680485,1310497,,,17000866 //r87,"A manual of field astronomy, by Andrew H. Holt ...","John Wiley & sons, inc.; [etc., etc.] 1917.",bibliographically-derived by automatic processes,2/6/2011 19:30,0,1917,New York (State),English,Book
mdp.39015065691068,allow,public domain,1476261,,University of Michigan,1476261,529975,,,48003427,Practical astronomy : a textbook for engineering schools and a manual of field methods / by George L. Hosmer.,"Wiley, 1948.",copyright renewal research was conducted,12/22/2011 5:30,0,1948,New York (State),English,Book
mdp.39015002005851,allow,public domain,1476262,,University of Michigan,1476262,1391820,,,10024019 //r87,"Text-book on practical astronomy, by George L. Hosmer ...","J. Wiley & sons; [etc., etc.] 1910.",bibliographically-derived by automatic processes,12/3/2007 9:30,0,1910,New York (State),English,Book
uc1.b35749,allow,public domain only when viewed in the US,1476265,,University of California,"GLAD33923456-B,.b130674618",2456927,,,06028778 //r86,"A compendium of spherical astronomy with its applications to the determination and reduction of positions of the fixed stars, by Simon Newcomb.","The Macmillan company; Macmillan and co., ltd., 1906.",bibliographically-derived by automatic processes,8/22/2010 20:33,0,1906,New York (State),English,Book
uc2.ark:/13960/t53f4n60n,allow,public domain only when viewed in the US,1476265,,University of California,.b130674618,2456927,,,06028778 //r86,"A compendium of spherical astronomy with its applications to the determination and reduction of positions of the fixed stars, by Simon Newcomb.","The Macmillan company; Macmillan and co., ltd., 1906.",bibliographically-derived by automatic processes,2/16/2011 19:30,0,1906,New York (State),English,Book
mdp.39015065837919,allow,public domain,1476268,v.1,University of Michigan,1476268,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,4/2/2013 19:25,0,1823,England,English,Book
uc1.b4250901,allow,public domain,1476268,v.1:2,University of California,GLAD33774396-B,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,5/15/2009 23:30,0,1823,England,English,Book
uc1.b113217,allow,public domain,1476268,v.1:1,University of California,GLAD33774396-B,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,10/6/2009 22:30,0,1823,England,English,Book
uc1.b113218,allow,public domain,1476268,v.1:2,University of California,GLAD33774396-B,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,10/7/2009 22:30,0,1823,England,English,Book
njp.32101054771413,allow,public domain,1476268,"vol. 1, pt. 2",Princeton University,2099440,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,10/19/2010 15:32,0,1823,England,English,Book
njp.32101054771421,allow,public domain,1476268,"vol. 1, pt. 1",Princeton University,2099440,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,10/19/2010 15:32,0,1823,England,English,Book
uc2.ark:/13960/t86h4fr8n,allow,public domain,1476268,v.1:2,University of California,.b129768662,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,8/16/2012 19:31,0,1823,England,English,Book
uc2.ark:/13960/t9c53h46f,allow,public domain,1476268,v.1:1,University of California,.b129768662,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,8/16/2012 19:31,0,1823,England,English,Book
ien.35556013803606,allow,public domain,1476268,v.1,Northwestern University,1692222,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,10/17/2012 19:30,0,1823,England,English,Book
nyp.33433087585703,allow,public domain,1476268,"v. 1, pt. 2",New York Public Library,.b13747748x,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,4/18/2013 19:25,0,1823,England,English,Book
nyp.33433087585711,allow,public domain,1476268,"v. 1, pt. 1",New York Public Library,.b13747748x,1160443,,,5037839,"A treatise on astronomy, theoretical and practical.","Printed for J. Deighton & sons; [etc., etc.] 1821-23.",bibliographically-derived by automatic processes,4/18/2013 19:25,0,1823,England,English,Book
mdp.39015080019469,allow,public domain only when viewed in the US,1476272,,University of Michigan,1476272,23422144,,,6032822,"Nouvelles méthodes pour la détermination complète de la réfraction,","Gauthier-Villars, 1886.",bibliographically-derived by automatic processes,7/1/2010 19:30,0,1886,France,French,Book
mdp.39015027825606,allow,public domain,1476274,,University of Michigan,1476274,15502541,,,9019449,"Reduction of the observations made by Bradley at Kew and Wansted, to determine the quantities of aberration and nutation.","At the University press, 1838.",bibliographically-derived by automatic processes,7/13/2009 22:30,0,1838,England,English,Book
uc2.ark:/13960/t7dr2r44m,allow,public domain,1476274,,University of California,.b124174383,15502541,,,9019449,"Reduction of the observations made by Bradley at Kew and Wansted, to determine the quantities of aberration and nutation.","At the University press, 1838.",bibliographically-derived by automatic processes,2/16/2011 19:30,0,1838,England,English,Book
hvd.hxggz1,allow,public domain,1476274,,Harvard University,3462869,15502541,,,9019449,"Reduction of the observations made by Bradley at Kew and Wansted, to determine the quantities of aberration and nutation.","At the University press, 1838.",bibliographically-derived by automatic processes,6/4/2012 10:28,0,1838,England,English,Book
mdp.39015068074403,allow,public domain,1476283,,University of Michigan,1476283,1367528,,,08029610 //r86,A text-book of field astronomy for engineers. By George C. Comstock ...,"J. Wiley & sons; [etc., etc.] 1908.",bibliographically-derived by automatic processes,4/3/2013 19:25,0,1908,New York (State),English,Book
uc1.b113318,allow,public domain,1476283,,University of California,GLAD17064990-B,1367528,,,08029610 //r86,A text-book of field astronomy for engineers. By George C. Comstock ...,"J. Wiley & sons; [etc., etc.] 1908.",bibliographically-derived by automatic processes,4/5/2013 19:25,0,1908,New York (State),English,Book
uc2.ark:/13960/t09w09z8p,allow,public domain,1476283,,University of California,.b124174437,1367528,,,08029610 //r86,A text-book of field astronomy for engineers. By George C. Comstock ...,"J. Wiley & sons; [etc., etc.] 1908.",bibliographically-derived by automatic processes,2/6/2011 19:30,0,1908,New York (State),English,Book
mdp.39015078033795,allow,public domain,1476284,,University of Michigan,1476284,6287904,,,48046421,"Manual of geodetic astronomy; determination of longitude, latitude and azimuth,","U. S. Govt. Print. Off., 1947 [i.e. 1948]",copyright renewal research was conducted,11/30/2010 11:50,0,1948,District of Columbia,English,Book
