Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
mdp.39015055288511,allow,pd,001476856,,MiU,001476856,3838009,,,04032451 //r87,"Total eclipses of the sun, by Mabel Loomis Todd ...","Roberts brothers, 1894.",bib,2013-04-01 19:25:12,0,1894,mau,eng,BK
mdp.39015069406141,allow,pdus,001476860,,MiU,001476860,12735340,,,17011766,El eclipse total de sol del 3 de febrero de 1916 en Venezuela.,"Litografía del Comercio, 1916.",bib,2012-04-07 19:31:04,0,1916,ve ,spa,BK
mdp.39015030992096,allow,pdus,001476861,,MiU,001476861,11062426,,,21004467,Eclipses de sol de 3 de diciembre de 1918 y 29 de mayo de 1919.,1920.,bib,2012-12-11 19:30:16,0,1920,uy ,spa,BK
mdp.39015017172894,allow,pd,001476873,,MiU,001476873,3192616,,,58029306 /L/r84,Introduction to the moon.,Griffith Observatory [1958],ren,2013-04-26 05:25:04,0,1958,cau,eng,BK
mdp.39015017173009,allow,pdus,001476880,,MiU,001476880,4011190,,,08014716 //r873,"The moon in modern astronomy: a summary of twenty years selenographic work, and a study of recent problems by Philip Fauth ... Translated by Joseph McCabe, with an introduction by J. Ellard Gore ...","A. Owen & co., [1907]",bib,2010-02-20 22:30:14,0,1907,enk,eng,BK
mdp.39015064486312,allow,pdus,001476883,,MiU,001476883,2746075,,,11008183 //r87,"Vergleichende mond- und erdkunde, von dr. Siegmund Günther ... mit 23 abbildungen im text und 4 tafelen.","F. Vieweg & sohn, 1911.",bib,2013-04-02 19:25:06,0,1911,gw ,ger,BK
nyp.33433069087793,allow,pdus,001476883,,NYP,.b137453899,2746075,,,11008183 //r87,"Vergleichende mond- und erdkunde, von dr. Siegmund Günther ... mit 23 abbildungen im text und 4 tafelen.","F. Vieweg & sohn, 1911.",bib,2010-10-10 19:30:45,0,1911,gw ,ger,BK
mdp.39015014562055,allow,pd,001476884,,MiU,001476884,4888836,,,06020043,Lunar science; ancient and modern.,"S. Sonnenschein, Lowrey & co., 1886.",add,2013-04-18 05:25:03,0,1886,enk,eng,BK
mdp.39015064587069,allow,pd,001476884,,MiU,001476884,4888836,,,06020043,Lunar science; ancient and modern.,"S. Sonnenschein, Lowrey & co., 1886.",add,2013-04-17 05:25:03,0,1886,enk,eng,BK
uc2.ark:/13960/t8z893x25,allow,pd,001476884,,UC,5394911,4888836,,,06020043,Lunar science; ancient and modern.,"S. Sonnenschein, Lowrey & co., 1886.",add,2013-04-18 05:25:03,0,1886,enk,eng,BK
mdp.39015077776899,allow,pd,001476896,,MiU,001476896,293409,,,66060411,"NASA 1965 Summer Conference on Lunar Exploration and Science, Falmouth, Massachusetts, July 19-31, 1965.","Scientific and Technical Information Division, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1965. --",bib,2009-06-22 21:30:09,1,1965,dcu,eng,BK
uc1.b4501633,allow,pdus,001476898,,UC,"GLAD50511971-B,b167206679",2128742,,,05005489,"The moon, and the condition and configurations of its surface,","Longmans, Green, and co., 1876.",bib,2010-09-17 20:34:05,0,1876,enk,eng,BK
nyp.33433069107393,allow,pdus,001476898,,NYP,.b137467849,2128742,,,05005489,"The moon, and the condition and configurations of its surface,","Longmans, Green, and co., 1876.",bib,2013-04-04 19:25:56,0,1876,enk,eng,BK
mdp.39015017174551,allow,pd,001476902,,MiU,001476902,4158061,,,67062926,1967 Summer Study of Lunar Science and Exploration : [reports] / directed by Wilmot N. Hess.,"Scientific and Technical Division, National Aeronautics and Space Administration : available from the Clearinghouse for Federal Scientific and Technical Information, Springfield, Va., 1967. --",bib,2010-02-19 22:30:10,1,1967,dcu,eng,BK
